Comment ID,Comment Text,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
131488763,"Giel, I heard that your very fat, very ugly, very shameless ashawo chinwe bleeped her gigolo in the restroom. Kindly confirm or deny.",0,,,,,1,2,Slut shaming,3,3,2,1,0,,,1,""" I heard that your very fat, very ugly, very shameless ashawo""","1,3,5",10,1,"That Chinwe allegedly ""bleeped her gigolo in the restroom. """,1,Fat shaming & Slut Shaming,0,,0,,1,For Chinwe to Confirm if her alleged actions are true,0,,0,,,,,,,,,
131904228,"By the time this cheating husband wins this money, the wife go dey pray and fast everyday to see her husband cos na 3 girls per night he go dey carry go hotel. Kassia brace up for what's about to hit you. The lord is your muscle!! Well that been said... Kellyrae and Handi ship will make sense 😂 https://x.com/antepalo/status/1832544271586447530?t=8t60aNEx7Rikshcv_QTJ8A&s=19",1,"A link to an X Post about a ""cheating husband""",2,,,1,8,Infidelity by husband & wifes emotional burden,3,2,2,1,0,,,0,,10,10,0,,0,,0,,1,An X link about the cheating husband scenario,0,,0,,0,,,,,,,,,
131618444,"Wetin married woman dy find for another man nipple, that's enough disrespect on her husband na. Same house where dem dy which kind rough play be that. But immediately she see djflo with husband she'll quickly come to take her away, she can play but her husband can't play. Nansense",0,,,,,1,4,"Marital respect, sexual boundaries, double standards between husbands and wives",2,3,2,1,0,,,1,"""Nansense""",2,1,0,,0,,0,,0,,0,,0,,0,,,,,,,,,
131924550,Wats wrong with a wife asking her husband if getting married b4 coming to a show might be regretable due to the fact it might hindered him from exploring a lot of opportunities and exposures after d show...? This question might not make sense to you but its a normal question women who want their husband to themselves alone ask....But agenda must agend,1,Mention of BBN Season 9,2,,,1,2,Marriage espectations & Public judgement,4,2,1,1,0,,,0,,1,10,0,,0,,0,,0,,1,Defense of wife questioning her husband about marriage ,0,,0,,,,,,,,,
132215902,"If you are that strong, you should be able to take your two faves to the finale and also crown a winner. All the best Kassia, you deserve the win better than your husband.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131309825,"Beureefuulll woman. Her husband took a huge risk bringing her on the show,he geh luck say people like Kidd or Cross no dey this season he for dey sweat steadily the way those ones go the flirt with his wife. Last last na him go later shout,we b husband and wife o 😁",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131471475,Some fans said this is the first time a husband and wife are on big brother so they deserve the money. Other fans say the husband is competitive so they should win. Then most fans just stan them for no reason at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131575233,"Calling Wanni and Handi Ashawo will forever be funny to me, point to one lady in that house that is not Ashawo aside married Kassia(we don’t even know her pre-marriage ways). The twins own it and they are unapologetic about it, ke deal wirrit.. Runs girls will be calling street girl Ashawo, same joe minor difference.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131909365,"What’s there if she likes married men or men in a relationship? How many men treat their wives better than the side chicks? I love me those baddies Housewife Dey house Dey chop shege, side chick Dey outside Dey chop premium life for doing basically nothing than fûck the man😁.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131574837,"Awwwn I like men o See how calmly Kelly and tjay are sorting their issues If na my gender now , na repetitive words, ‘ bitch’. Them go Dey use to bring the roof down",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
