Comment ID,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
131488763,"Giel, I heard that your very fat, very ugly, very shameless ashawo chinwe bleeped her gigolo in the restroom. Kindly confirm or deny.",Sexual allegations & slut-shaming,Negative (131488763),The emotion expressed in this comment is anger and hostility. (131488763),Hostile (131488763),0 (131488763),– (131488763),3 (131488763),- (131488763),"Use of insults, body-shaming, and defamatory sexual allegations (131488763)",1 (131488763),6 (131488763),Sexual shaming and character assassination of women (131488763),3 (131488763),3 (131488763),2 (131488763),1 (131488763),0 (131488763),- (131488763),- (131488763),1 (131488763),"very fat, very ugly, very shameless ashawo (131488763)",3 (131488763),1 (131488763),0 (131488763),– (131488763),0 (131488763),– (131488763),0 (131488763),– (131488763),0 (131488763),– (131488763),0 (131488763),– (131488763),0 (131488763),– (131488763),0 (131488763),,,,,,,,,
131904228,"By the time this cheating husband wins this money, the wife go dey pray and fast everyday to see her husband cos na 3 girls per night he go dey carry go hotel. Kassia brace up for what's about to hit you. The lord is your muscle!! Well that been said... Kellyrae and Handi ship will make sense 😂 https://x.com/antepalo/status/1832544271586447530?t=8t60aNEx7Rikshcv_QTJ8A&s=19",Marriage/Loyalty/Boundaries,Negative (131904228),The emotion expressed in this comment is anger and resentment. (131904228),Sarcastic (131904228),1 (131904228),BBNaija housemates & cheating storyline (131904228),3 (131904228),- (131904228),Portrayal of husband as unfaithful and marriage as doomed; moral condemnation (131904228),1 (131904228),6 (131904228),Fear of male infidelity and moral judgment of marriage (131904228),3 (131904228),3 (131904228),1 (131904228),1 (131904228),0 (131904228),- (131904228),- (131904228),1 (131904228),cheating husband… 3 girls per night (131904228),2 (131904228),2 (131904228),0 (131904228),– (131904228),0 (131904228),– (131904228),0 (131904228),– (131904228),1 (131904228),Shares a link to an X/Twitter post alleging cheating behavior (131904228),1 (131904228),Advocates skepticism toward Kassia’s marriage and warns of future infidelity (131904228),0 (131904228),– (131904228),0 (131904228),,,,,,,,,
131618444,"Wetin married woman dy find for another man nipple, that's enough disrespect on her husband na. Same house where dem dy which kind rough play be that. But immediately she see djflo with husband she'll quickly come to take her away, she can play but her husband can't play. Nansense",Marriage/Loyalty/Boundaries,Negative (131618444),The emotion expressed in this comment is anger and moral outrage. (131618444),Angry (131618444),1 (131618444),Married couple interaction in BBNaija house (131618444),3 (131618444),- (131618444),Perceived disrespectful behavior by a married woman and blurred boundaries (131618444),1 (131618444),4 (131618444),Marital boundaries and policing women’s physical behavior (131618444),3 (131618444),3 (131618444),1 (131618444),1 (131618444),0 (131618444),- (131618444),- (131618444),1 (131618444),wetin married woman dey find for another man nipple (131618444),2 (131618444),2 (131618444),0 (131618444),– (131618444),0 (131618444),– (131618444),0 (131618444),– (131618444),0 (131618444),– (131618444),0 (131618444),– (131618444),0 (131618444),– (131618444),0 (131618444),,,,,,,,,
131924550,Wats wrong with a wife asking her husband if getting married b4 coming to a show might be regretable due to the fact it might hindered him from exploring a lot of opportunities and exposures after d show...? This question might not make sense to you but its a normal question women who want their husband to themselves alone ask....But agenda must agend,Marriage/Loyalty/Boundaries,Neutral (131924550),The emotion expressed in this comment is curiosity and mild justification. (131924550),Defensive (131924550),1 (131924550),Marriage discussion related to BBNaija participation (131924550),2 (131924550),- (131924550),- (131924550),1 (131924550),4 (131924550),"Control, possessiveness, and expectations of wives’ loyalty (131924550)",4 (131924550),4 (131924550),1 (131924550),1 (131924550),0 (131924550),- (131924550),- (131924550),0 (131924550),- (131924550),10 (131924550),10 (131924550),0 (131924550),– (131924550),0 (131924550),– (131924550),0 (131924550),– (131924550),0 (131924550),– (131924550),0 (131924550),– (131924550),0 (131924550),– (131924550),0 (131924550),,,,,,,,,
132215902,"If you are that strong, you should be able to take your two faves to the finale and also crown a winner. All the best Kassia, you deserve the win better than your husband.",Voting/prize-money strategy (“the money”),Positive (132215902),The emotion expressed in this comment is encouragement and optimism. (132215902),Encouraging (132215902),1 (132215902),BBNaija competition & finale outcome (132215902),1 (132215902),Deserves to win; personal strength and competence (132215902),- (132215902),0 (132215902),- (132215902),- (132215902),- (132215902),- (132215902),3 (132215902),3 (132215902),0 (132215902),- (132215902),- (132215902),0 (132215902),- (132215902),8 (132215902),9 (132215902),0 (132215902),– (132215902),0 (132215902),– (132215902),0 (132215902),– (132215902),0 (132215902),– (132215902),1 (132215902),Advocates Kassia winning over her husband (132215902),0 (132215902),– (132215902),0 (132215902),,,,,,,,,
131309825,"Beureefuulll woman. Her husband took a huge risk bringing her on the show,he geh luck say people like Kidd or Cross no dey this season he for dey sweat steadily the way those ones go the flirt with his wife. Last last na him go later shout,we b husband and wife o 😁",Marriage/Loyalty/Boundaries,Positive (131309825),The emotion expressed in this comment is amusement and playful teasing. (131309825),Playful (131309825),1 (131309825),Flirting dynamics in BBNaija house (131309825),1 (131309825),Appreciation of wife’s beauty and couple dynamic (131309825),- (131309825),1 (131309825),4 (131309825),Male jealousy and ownership over wife’s desirability (131309825),4 (131309825),4 (131309825),2 (131309825),1 (131309825),0 (131309825),- (131309825),- (131309825),0 (131309825),- (131309825),1 (131309825),1 (131309825),0 (131309825),– (131309825),0 (131309825),– (131309825),0 (131309825),– (131309825),0 (131309825),– (131309825),0 (131309825),– (131309825),0 (131309825),– (131309825),0 (131309825),,,,,,,,,
131471475,Some fans said this is the first time a husband and wife are on big brother so they deserve the money. Other fans say the husband is competitive so they should win. Then most fans just stan them for no reason at all,Voting/prize-money strategy (“the money”),Neutral (131471475),The emotion expressed in this comment is neutrality and observation. (131471475),Neutral (131471475),1 (131471475),Public fandom debate about BBNaija winners (131471475),2 (131471475),- (131471475),- (131471475),0 (131471475),- (131471475),- (131471475),- (131471475),- (131471475),3 (131471475),3 (131471475),0 (131471475),- (131471475),- (131471475),0 (131471475),- (131471475),10 (131471475),10 (131471475),0 (131471475),– (131471475),0 (131471475),– (131471475),0 (131471475),– (131471475),0 (131471475),– (131471475),0 (131471475),– (131471475),0 (131471475),– (131471475),0 (131471475),,,,,,,,,
131575233,"Calling Wanni and Handi Ashawo will forever be funny to me, point to one lady in that house that is not Ashawo aside married Kassia(we don’t even know her pre-marriage ways). The twins own it and they are unapologetic about it, ke deal wirrit.. Runs girls will be calling street girl Ashawo, same joe minor difference.",Sexual allegations & slut-shaming,Negative (131575233),The emotion expressed in this comment is contempt and mockery. (131575233),Derogatory (131575233),1 (131575233),Housemates’ reputations and labels in BBNaija (131575233),3 (131575233),- (131575233),Use of slut-shaming and misogynistic labeling of women (131575233),1 (131575233),5 (131575233),"Slut-shaming, sexual double standards, and misogyny (131575233)",3 (131575233),3 (131575233),1 (131575233),1 (131575233),0 (131575233),- (131575233),- (131575233),1 (131575233),point to one lady… that is not Ashawo (131575233),1 (131575233),1 (131575233),0 (131575233),– (131575233),0 (131575233),– (131575233),0 (131575233),– (131575233),0 (131575233),– (131575233),0 (131575233),– (131575233),0 (131575233),– (131575233),0 (131575233),,,,,,,,,
131909365,"What’s there if she likes married men or men in a relationship? How many men treat their wives better than the side chicks? I love me those baddies Housewife Dey house Dey chop shege, side chick Dey outside Dey chop premium life for doing basically nothing than fûck the man😁.",Sexual allegations & slut-shaming,Negative (131909365),The emotion expressed in this comment is cynicism and disdain. (131909365),Cynical (131909365),1 (131909365),BBNaija relationship and infidelity discourse (131909365),4 (131909365),- (131909365),- (131909365),1 (131909365),6 (131909365),Normalization of men’s infidelity and side-chick culture (131909365),4 (131909365),4 (131909365),1 (131909365),1 (131909365),0 (131909365),- (131909365),- (131909365),1 (131909365),doing basically nothing than fûck the man (131909365),1 (131909365),1 (131909365),0 (131909365),– (131909365),0 (131909365),– (131909365),0 (131909365),– (131909365),0 (131909365),– (131909365),0 (131909365),– (131909365),0 (131909365),– (131909365),0 (131909365),,,,,,,,,
131574837,"Awwwn I like men o See how calmly Kelly and tjay are sorting their issues If na my gender now , na repetitive words, ‘ bitch’. Them go Dey use to bring the roof down",Gender norms/misogyny/“women vs men” discourse,Positive (131574837),The emotion expressed in this comment is appreciation and mild satisfaction. (131574837),Appreciative (131574837),1 (131574837),Conflict resolution among male housemates (131574837),1 (131574837),Calm conflict resolution by male housemates (131574837),- (131574837),1 (131574837),7 (131574837),Gendered communication styles and stereotypes about women’s conflict behavior (131574837),2 (131574837),2 (131574837),1 (131574837),3 (131574837),0 (131574837),- (131574837),- (131574837),0 (131574837),- (131574837),8 (131574837),8 (131574837),0 (131574837),– (131574837),0 (131574837),– (131574837),0 (131574837),– (131574837),0 (131574837),– (131574837),0 (131574837),– (131574837),0 (131574837),– (131574837),1 (131574837),,,,,,,1,1,
